State Code,State,Our GSTIN,Type
03,Punjab,03AAECJ6910B1Z6,Regular
04,Chandigarh,04AAECJ6910B1Z4,Regular
05,Uttarakhand,05AAECJ6910B1Z2,Regular
06,Haryana,06AAECJ6910B1Z0,Regular
07,Delhi,07AAECJ6910B1ZY,Regular
08,Rajasthan,08AAECJ6910B1ZW,Regular
09,Uttar Pradesh,09AAECJ6910B1ZU,Regular
10,Bihar,10AAECJ6910B1ZB,Regular
19,West Bengal,19AAECJ6910B1ZT,Regular
20,Jharkhand,20AAECJ6910B1ZA,Regular
21,Odisha,21AAECJ6910B1Z8,Regular
23,Madhya Pradesh,23AAECJ6910B1Z4,Regular
24,Gujarat,24AAECJ6910B1Z2,Regular
27,Maharashtra,27AAECJ6910B1ZW,Regular
29,Karnataka,29AAECJ6910B1ZS,Regular
33,Tamil Nadu,33AAECJ6910B1Z3,Regular
36,Telangana,36AAECJ6910B1ZX,Regular
37,Andhra Pradesh,37AAECJ6910B1ZV,Regular
27,Maharashtra,27AAECJ6910B2ZV,ISD
